Sentence,Sentiment
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,neutral
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,positive
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",positive
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,neutral
$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,positive
Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,neutral
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",negative
Arena Partners Oy is a development company for electronic business .,neutral
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",neutral
"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .",positive
The dual-fuel engines of the vessel can operate on liquefied natural gas LNG with low emissions .,neutral
You are warmly welcome !,neutral
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",neutral
Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .,neutral
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,neutral
All rights reserved .,neutral
"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .",positive
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral
"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",negative
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",negative
The corrected chapter is in its entirety below .,neutral
"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",positive
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,neutral
"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business .",neutral
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",neutral
"Includes company and brand share data by category , as well as distribution channel data .",neutral
The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,neutral
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging .",neutral
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",neutral
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,neutral
"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 .",neutral
This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .,neutral
"Department store sales improved by 14 % to EUR 1,070.6 mn .",positive
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",neutral
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral
"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum .",positive
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",positive
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive
The value of the orders is about EUR 70mn .,neutral
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive
TalkTalk hires BAE Systems to investigate cyber attack,negative
The emerging markets that Raisio has chosen to enter so far are marked by relatively low per capita food consumption .,neutral
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",neutral
It 's not .,neutral
The solution will now be expanded to include all ground staff tasks .,neutral
MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,positive
The platform would continue to be the development framework for Symbian and MeeGo .,neutral
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral
Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia .,neutral
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",negative
"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",positive
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,neutral
"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",positive
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive
The parties have agreed not to disclose the transaction value .,neutral
Investments are not disclosed .,neutral
Why not subscribe to the magazine ?,neutral
The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,neutral
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive
"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral
"The business idea of Budget Sport is to offer customers a wide range of high-quality sports equipment and clothing at low prices , the company said .",neutral
The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,neutral
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of EUR 49.6 mn in the first quarter of 2009 , which are only a per cent smaller than in the corresponding period in 2008 .",neutral
"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today .",positive
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",positive
"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",negative
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",positive
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,positive
"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",neutral
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral
The aim is to develop open-source application solutions .,neutral
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",negative
"So far as is known , he did not sell shares that he owns personally .",neutral
Tesco sales recover as focus returns to core business,positive
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral
Morning Agenda: Shire's Deal for NPS,positive
A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,neutral
"The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation .",neutral
$GNRC finding support at its 10-day line so far.,positive
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,neutral
"For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year .",positive
The sale price was not disclosed .,neutral
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral
"The official opening of the office , located in Prague , will be celebrated on May 20 .",neutral
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral
Europe however remains an important and strong market for us .,neutral
The company says the measures are no longer needed .,neutral
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,neutral
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",positive
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",neutral
The event can also be viewed as a live audio webcast at www.ahlstrom.com .,neutral
"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",neutral
Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,positive
StanChart and RBS struggle in Bank of England stress tests,negative
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",negative
The operating margin came down to 2.4 % from 5.7 % .,neutral
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",neutral
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,negative
"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",positive
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive
Arena Partners Oy is a development company for electronic business .,neutral
"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",positive
"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",positive
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",neutral
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral
"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .",neutral
Morrisons book second consecutive quarter of sales growth,positive
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,neutral
`` We 've been feeling quite positive about the region as a whole .,positive
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",neutral
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",positive
"In his current position , Manty has worked since 1996 .",neutral
"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",positive
"Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .",neutral
Financing of the project will come mainly from China .,neutral
`` The acquisition of Elektros Pavara completes KONE 's market expansion strategy in the Baltic Countries .,positive
The final outcome of the rights offering is to be reported around 23 October 2009 .,neutral
Relief for Lewis as Tesco sees sales grow for first time in a year,positive
"The number of class A shares remains unchanged at 9,526,089 shares .",neutral
"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .",neutral
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",positive
Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .,neutral
RBS will reportedly appoint Howard Davies as its next chairman,neutral
Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .,neutral
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral
"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",neutral
"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .",neutral
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",neutral
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",neutral
"Jeder Beta-Tester erh+Ã±lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Ã‚glichkeit , die finale Version zu beeinflussen .",neutral
Tesco PLC's Recovery Continues With A Ã‚Â£250m Cash Infusion,positive
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,neutral
$TRX http://stks.co/1KkK Long setup. MACD cross.,positive
"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",positive
Cash Flow from Operations for the most recent quarter also reached a eight year low .,neutral
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive
"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",positive
"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .",neutral
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative
"The record date for dividend distribution is March 14 , 2008 .",neutral
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,neutral
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive
The restructuring measures will not affect the production of packaging printing material .,neutral
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,negative
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",neutral
$DARA breaking out,positive
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,neutral
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",positive
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",negative
"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .",neutral
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",neutral
QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,neutral
"Royal Mail, Johnson Matthey lead FTSE lower",negative
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",positive
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,negative
Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,neutral
Shire proposes $30 bln all-share tie-up with Baxalta,positive
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",positive
$aapl news is becoming very bullish again http://stks.co/tMU,positive
"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .",positive
The webcast may be followed online on the company website at www.ruukki.com/investors .,neutral
"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",neutral
The result before taxes was a loss of 25.0 million euros .,neutral
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral
He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,neutral
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral
Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,neutral
$NFLX and $TSLA making all kinds of gains ðŸ“ˆ,positive
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",positive
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",neutral
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",neutral
Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,negative
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",neutral
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",negative
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,positive
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",negative
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",positive
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",positive
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",positive
Synergy benefits will start to materialise in the second quarter .,positive
The ECB can mainly target inflation .,neutral
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"""" https://t.co/EQQLTfUiOU""",negative
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",positive
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",neutral
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",neutral
"In beers , Olvi retained its market position .",neutral
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",neutral
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",neutral
YIT Kausta will build commercial and residential highrises in Virsuliskes area .,neutral
"The plant is scheduled for completion in late February 2007 with hand over of some areas in January Two other suppliers of Nokia - Aspocomp Group Oyj and Perlos - have announced their plans to establish plants within the Nokia complex Together , they will invest Rs 365 crore .",neutral
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral
The winner does not have to be present to win .,neutral
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive
"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",positive
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,negative
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral
All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .,neutral
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",negative
